N,threads,tempo_sequencial,tempo_concorrente,aceleracao,eficiencia,primos_encontrados
1000,8,0.000235,0.000276,0.849681,0.106210,168
1000,8,0.000254,0.000248,1.023645,0.127956,168
1000,8,0.000338,0.000276,1.225168,0.153146,168
1000,8,0.000255,0.000563,0.452932,0.056617,168
1000,8,0.000298,0.000280,1.063815,0.132977,168
1000,8,0.000279,0.000261,1.067970,0.133496,168
1000,8,0.000224,0.000224,1.001533,0.125192,168
1000,8,0.000250,0.000230,1.086589,0.135824,168
1000,8,0.000275,0.000343,0.801395,0.100174,168
1000,8,0.000292,0.000356,0.820901,0.102613,168
1000,8,0.000216,0.000294,0.734521,0.091815,168
1000,8,0.000242,0.000223,1.086049,0.135756,168
1000,8,0.000237,0.000352,0.673454,0.084182,168
1000,8,0.000355,0.000302,1.177362,0.147170,168
1000,8,0.000247,0.000223,1.108925,0.138616,168
1000,8,0.000246,0.000288,0.855597,0.106950,168
1000,8,0.000296,0.000312,0.951167,0.118896,168
1000,8,0.000267,0.000294,0.908145,0.113518,168
1000,8,0.000218,0.000266,0.819598,0.102450,168
1000,12,0.000277,0.000382,0.726058,0.060505,168
1000,12,0.000245,0.000331,0.739004,0.061584,168
1000,12,0.000301,0.000354,0.851296,0.070941,168
1000,12,0.000242,0.000328,0.737863,0.061489,168
1000,12,0.000320,0.000408,0.783271,0.065273,168
1000,12,0.000256,0.000335,0.764294,0.063691,168
1000,12,0.000213,0.000459,0.463870,0.038656,168
1000,12,0.000317,0.000350,0.908190,0.075682,168
1000,12,0.000372,0.000278,1.341205,0.111767,168
1000,12,0.000414,0.000373,1.110584,0.092549,168
1000,12,0.000328,0.000397,0.826556,0.068880,168
1000,12,0.000313,0.000358,0.876346,0.073029,168
1000,12,0.000227,0.000316,0.719689,0.059974,168
1000,12,0.000264,0.000336,0.785702,0.065475,168
1000,12,0.000205,0.000412,0.497797,0.041483,168
1000,12,0.000391,0.000476,0.819770,0.068314,168
1000,12,0.000233,0.000314,0.743382,0.061948,168
1000,12,0.000262,0.000322,0.812846,0.067737,168
1000,12,0.000245,0.000322,0.761185,0.063432,168
1000,12,0.000304,0.000347,0.876784,0.073065,168
1000,12,0.000266,0.000374,0.710354,0.059196,168
1000,12,0.000250,0.000301,0.832485,0.069374,168
1000,12,0.000218,0.000278,0.784246,0.065354,168
1000,12,0.000211,0.000306,0.691003,0.057584,168
1000,12,0.000211,0.000446,0.473647,0.039471,168
1000,12,0.000254,0.000404,0.629296,0.052441,168
1000,12,0.000287,0.000356,0.805137,0.067095,168
1000,12,0.000249,0.000355,0.699783,0.058315,168
1000,12,0.000224,0.000445,0.503876,0.041990,168
1000,12,0.000260,0.000346,0.752332,0.062694,168
1000,12,0.000331,0.000336,0.984584,0.082049,168
1000,12,0.000309,0.000521,0.593938,0.049495,168
1000,12,0.000234,0.000325,0.720017,0.060001,168
1000,12,0.000326,0.000637,0.511519,0.042627,168
1000,12,0.000236,0.000293,0.803444,0.066954,168
1000,12,0.000271,0.000336,0.805014,0.067085,168
1000,12,0.000234,0.000473,0.496177,0.041348,168
1000,12,0.000524,0.000303,1.728884,0.144074,168
1000,12,0.000293,0.000405,0.724280,0.060357,168
1000,12,0.000328,0.000323,1.015844,0.084654,168
1000,12,0.000253,0.000350,0.724259,0.060355,168
1000,12,0.000362,0.000424,0.852532,0.071044,168
1000,12,0.000217,0.000347,0.623729,0.051977,168
1000,12,0.000238,0.000413,0.576440,0.048037,168
1000,12,0.000219,0.000347,0.631739,0.052645,168
1000,12,0.000257,0.000278,0.926588,0.077216,168
1000,12,0.000237,0.000296,0.801581,0.066798,168
1000,12,0.000251,0.000448,0.561310,0.046776,168
1000,12,0.000263,0.000330,0.797680,0.066473,168
1000,12,0.000229,0.000295,0.774407,0.064534,168
1000,16,0.000208,0.000563,0.369574,0.023098,168
1000,16,0.000310,0.000440,0.706393,0.044150,168
1000,16,0.000246,0.000359,0.685574,0.042848,168
1000,16,0.000228,0.000546,0.418585,0.026162,168
1000,16,0.000304,0.000439,0.693796,0.043362,168
1000,16,0.000261,0.000656,0.398802,0.024925,168
1000,16,0.000232,0.000347,0.669381,0.041836,168
1000,16,0.000201,0.000354,0.567415,0.035463,168
1000,16,0.000265,0.000613,0.432032,0.027002,168
1000,16,0.000214,0.000446,0.480119,0.030007,168
1000,16,0.000209,0.000385,0.543598,0.033975,168
1000,16,0.000244,0.000550,0.443558,0.027722,168
1000,16,0.000284,0.000428,0.663891,0.041493,168
1000,16,0.000272,0.000573,0.475068,0.029692,168
1000,16,0.000260,0.000444,0.585265,0.036579,168
1000,16,0.000278,0.000511,0.544124,0.034008,168
1000,16,0.000277,0.000441,0.629121,0.039320,168
1000,16,0.000250,0.000415,0.602366,0.037648,168
1000,16,0.000237,0.000587,0.403679,0.025230,168
1000,16,0.000247,0.000432,0.573005,0.035813,168
1000,16,0.000275,0.000423,0.651840,0.040740,168
1000,16,0.000266,0.000405,0.657415,0.041088,168
1000,16,0.000301,0.000534,0.563773,0.035236,168
1000,16,0.000282,0.000647,0.435106,0.027194,168
1000,16,0.000326,0.000499,0.652768,0.040798,168
1000,16,0.000264,0.000551,0.478117,0.029882,168
1000,16,0.000304,0.000474,0.640557,0.040035,168
1000,16,0.000249,0.000403,0.618132,0.038633,168
1000,16,0.000295,0.000516,0.572444,0.035778,168
1000,16,0.000283,0.000426,0.664306,0.041519,168
1000,16,0.000243,0.000506,0.479313,0.029957,168
1000,16,0.000394,0.000433,0.909756,0.056860,168
1000,16,0.000191,0.000346,0.552473,0.034530,168
1000,16,0.000301,0.000429,0.701180,0.043824,168
1000,16,0.000324,0.000432,0.748144,0.046759,168
1000,16,0.000236,0.000408,0.577246,0.036078,168
1000,16,0.000234,0.000564,0.414692,0.025918,168
1000,16,0.000299,0.000476,0.628977,0.039311,168
1000,16,0.000337,0.000516,0.652214,0.040763,168
1000,16,0.000278,0.000469,0.591708,0.036982,168
1000,16,0.000234,0.000472,0.495755,0.030985,168
1000,16,0.000268,0.000401,0.669099,0.041819,168
1000,16,0.000246,0.000620,0.396486,0.024780,168
1000,16,0.000266,0.000444,0.598087,0.037380,168
1000,16,0.000250,0.000533,0.468142,0.029259,168
1000,16,0.000266,0.000377,0.705975,0.044123,168
1000,16,0.000214,0.000553,0.386896,0.024181,168
1000,16,0.000280,0.000416,0.673558,0.042097,168
1000,16,0.000229,0.000559,0.409410,0.025588,168
1000,16,0.000291,0.000492,0.590616,0.036913,168
